date,time,temperature,humidity
26/01/2016,04:11:03,29.4,38.6
26/01/2016,04:12:03,29.5,38.5
26/01/2016,04:13:03,29.4,38.8
26/01/2016,04:14:03,29.3,38.8
26/01/2016,04:15:03,29.4,38.7
26/01/2016,04:16:03,29.3,38.6
26/01/2016,04:17:03,29.5,38.5
26/01/2016,04:18:03,29.4,38.4
26/01/2016,04:19:03,29.4,38.7
26/01/2016,04:20:03,29.3,38.8
26/01/2016,04:21:03,29.4,38.4
26/01/2016,04:22:03,29.3,38.3
26/01/2016,04:23:04,29.3,38.4
26/01/2016,04:24:03,29.3,38.5
26/01/2016,04:25:03,29.3,38.5
26/01/2016,04:26:04,29.2,38.6
26/01/2016,04:27:03,29.2,39.0
26/01/2016,04:28:03,29.3,38.3
26/01/2016,04:29:04,29.3,38.6
26/01/2016,04:30:03,29.3,38.4
26/01/2016,04:31:03,29.5,38.4
26/01/2016,04:32:03,29.4,38.7
26/01/2016,04:33:03,29.4,38.5
26/01/2016,04:34:03,29.5,38.3
26/01/2016,04:35:03,29.4,39.0
26/01/2016,04:36:03,29.4,38.8
26/01/2016,04:37:03,29.5,38.6
26/01/2016,04:38:03,29.5,38.4
26/01/2016,04:39:03,29.4,38.3
26/01/2016,04:40:04,29.5,38.7
26/01/2016,04:41:03,29.5,38.4
26/01/2016,04:42:03,29.5,38.6
26/01/2016,04:43:04,29.4,38.4
26/01/2016,04:44:03,29.4,38.7
26/01/2016,04:45:03,29.5,38.8
26/01/2016,04:46:03,29.6,38.1
26/01/2016,04:47:03,29.5,38.4
26/01/2016,04:48:03,29.4,38.4
26/01/2016,04:49:03,29.2,38.7
26/01/2016,04:50:03,29.2,39.0
26/01/2016,04:51:03,29.0,38.9
26/01/2016,04:52:03,29.1,39.0
26/01/2016,04:53:03,29.1,38.9
26/01/2016,04:54:04,29.0,39.2
26/01/2016,04:55:03,29.1,39.2
26/01/2016,04:56:03,29.2,39.0
26/01/2016,04:57:04,29.0,39.1
26/01/2016,04:58:03,29.0,39.1
26/01/2016,04:59:03,29.3,39.0
26/01/2016,05:00:04,29.2,39.2
26/01/2016,05:01:03,29.3,38.8
26/01/2016,05:02:03,29.3,38.9
26/01/2016,05:03:03,29.3,39.2
26/01/2016,05:04:03,29.2,39.0
26/01/2016,05:05:03,29.4,38.5
26/01/2016,05:06:03,29.2,38.7
26/01/2016,05:07:03,29.3,38.7
26/01/2016,05:08:03,29.1,38.7
26/01/2016,05:09:03,29.1,39.0
26/01/2016,05:10:03,29.0,39.4
26/01/2016,05:11:04,28.9,39.0
26/01/2016,05:12:03,28.8,39.4
26/01/2016,05:13:03,28.8,39.8
26/01/2016,05:14:04,28.9,39.2
26/01/2016,05:15:03,28.9,39.0
26/01/2016,05:16:03,29.1,39.0
26/01/2016,05:17:04,29.0,39.1
26/01/2016,05:18:03,29.0,38.9
26/01/2016,05:19:03,29.0,38.8
26/01/2016,05:20:03,29.1,38.7
26/01/2016,05:21:03,29.2,38.7
26/01/2016,05:22:03,29.3,38.2
26/01/2016,05:23:03,29.2,38.8
26/01/2016,05:24:03,29.2,38.5
26/01/2016,05:25:03,29.3,38.6
26/01/2016,05:26:03,29.2,38.4
26/01/2016,05:27:03,29.2,38.5
26/01/2016,05:28:04,29.2,38.3
26/01/2016,05:29:03,29.1,38.4
26/01/2016,05:30:03,29.1,38.4
26/01/2016,05:31:04,29.1,38.7
26/01/2016,05:32:03,29.0,38.9
26/01/2016,05:33:03,29.1,38.8
26/01/2016,05:34:04,29.1,38.9
26/01/2016,05:35:03,29.2,38.9
26/01/2016,05:36:03,29.0,38.5
26/01/2016,05:37:03,29.1,38.8
26/01/2016,05:38:03,29.1,38.7
26/01/2016,05:39:03,29.1,38.5
26/01/2016,05:40:03,29.1,38.7
26/01/2016,05:41:03,29.1,38.5
26/01/2016,05:42:04,29.2,38.7
26/01/2016,05:43:03,29.2,38.6
26/01/2016,05:44:03,29.3,38.5
26/01/2016,05:45:04,29.2,38.5
26/01/2016,05:46:03,29.3,38.5
26/01/2016,05:47:03,29.2,38.6
26/01/2016,05:48:04,29.4,38.5
26/01/2016,05:49:03,29.2,38.6
26/01/2016,05:50:03,29.2,38.6
26/01/2016,05:51:04,29.3,38.6
26/01/2016,05:52:03,29.1,38.5
26/01/2016,05:53:03,29.2,38.6
26/01/2016,05:54:04,29.3,38.6
26/01/2016,05:55:03,29.2,38.7
26/01/2016,05:56:03,29.3,38.2
26/01/2016,05:57:03,29.1,38.3
26/01/2016,05:58:03,29.1,38.5
26/01/2016,05:59:03,29.1,38.9
26/01/2016,06:00:03,29.1,38.4
26/01/2016,06:01:03,29.0,38.5
26/01/2016,06:02:04,29.1,38.5
26/01/2016,06:03:03,29.2,38.4
26/01/2016,06:04:03,29.1,38.3
26/01/2016,06:05:04,29.0,38.6
26/01/2016,06:06:03,29.0,38.7
26/01/2016,06:07:03,29.1,38.7
26/01/2016,06:08:04,29.0,38.6
26/01/2016,06:09:03,29.0,38.7
26/01/2016,06:10:03,28.8,38.4
26/01/2016,06:11:04,29.0,38.7
26/01/2016,06:12:03,29.0,39.1
26/01/2016,06:13:03,28.9,38.7
26/01/2016,06:14:04,29.0,38.4
26/01/2016,06:15:03,28.9,38.5
26/01/2016,06:16:03,29.0,38.6
26/01/2016,06:17:03,29.0,38.6
26/01/2016,06:18:03,28.9,38.6
26/01/2016,06:19:03,29.0,38.6
26/01/2016,06:20:03,29.2,38.2
26/01/2016,06:21:03,29.2,38.3
26/01/2016,06:22:04,29.1,38.4
26/01/2016,06:23:03,29.2,38.4
26/01/2016,06:24:03,29.1,38.5
26/01/2016,06:25:04,29.2,38.2
26/01/2016,06:26:03,29.2,38.1
26/01/2016,06:27:03,29.3,37.8
26/01/2016,06:28:04,29.3,37.8
26/01/2016,06:29:03,29.3,38.7
26/01/2016,06:30:03,29.2,38.1
26/01/2016,06:31:04,29.2,37.8
26/01/2016,06:32:03,29.3,37.9
26/01/2016,06:33:03,29.2,38.2
26/01/2016,06:34:04,29.3,38.1
26/01/2016,06:35:03,29.3,38.0
26/01/2016,06:36:03,29.2,38.2
26/01/2016,06:37:04,29.3,38.3
26/01/2016,06:38:03,29.2,37.8
26/01/2016,06:39:03,29.1,38.1
26/01/2016,06:40:03,29.2,38.1
26/01/2016,06:41:03,29.3,37.8
26/01/2016,06:42:03,29.3,38.4
26/01/2016,06:43:03,29.3,38.3
26/01/2016,06:44:03,29.3,38.0
26/01/2016,06:45:03,29.1,38.3
26/01/2016,06:46:03,29.3,37.8
26/01/2016,06:47:03,29.3,37.8
26/01/2016,06:48:04,29.3,37.8
26/01/2016,06:49:03,29.2,38.2
26/01/2016,06:50:03,29.0,38.5
26/01/2016,06:51:04,28.9,38.4
26/01/2016,06:52:03,29.1,38.3
26/01/2016,06:53:03,28.7,39.2
26/01/2016,06:54:04,29.0,38.0
26/01/2016,06:55:03,28.8,38.2
26/01/2016,06:56:03,29.1,38.4
26/01/2016,06:57:04,28.9,39.0
26/01/2016,06:58:03,29.2,39.1
26/01/2016,06:59:03,29.2,38.7
26/01/2016,07:00:03,29.3,38.0
26/01/2016,07:01:03,29.3,39.2
26/01/2016,07:02:03,29.1,39.6
26/01/2016,07:03:03,29.0,39.5
26/01/2016,07:04:03,29.1,39.9
26/01/2016,07:05:03,29.1,40.1
26/01/2016,07:06:03,28.8,40.2
26/01/2016,07:07:03,29.0,39.9
26/01/2016,07:08:04,29.2,39.9
26/01/2016,07:09:03,29.3,39.2
26/01/2016,07:10:03,29.2,39.9
26/01/2016,07:11:04,29.4,39.2
26/01/2016,07:12:03,29.5,38.9
26/01/2016,07:13:03,29.5,39.5
26/01/2016,07:14:04,29.4,39.7
26/01/2016,07:15:03,29.5,39.8
26/01/2016,07:16:03,29.5,39.7
26/01/2016,07:17:03,29.5,40.0
